id,club_id,facility_id,facility_item_id,is_active
31,3,2,2,True
32,3,3,4,True
33,3,3,5,True
34,3,3,6,True
35,3,3,7,True
36,3,3,8,True
37,3,3,9,True
38,3,3,10,True
39,3,3,11,True
40,3,3,12,True
41,3,3,13,True
42,3,3,14,True
43,3,3,15,True
44,3,3,16,True
45,3,3,17,True
46,3,3,18,True
47,3,3,19,True
48,3,3,20,True
49,3,3,21,True
50,3,3,22,True
51,3,3,23,True
52,3,3,24,True
53,3,3,25,True
54,3,3,26,True
55,3,3,27,True
56,3,3,28,True
57,3,3,29,True
58,3,4,31,True
59,3,4,32,True
60,3,4,33,True
61,3,4,34,True
62,3,4,35,True
63,3,4,36,True
64,3,4,37,True
65,3,4,38,True
66,3,4,39,True
67,3,4,40,True
68,3,4,41,True
69,3,4,42,True
70,3,4,43,True
71,3,4,44,True
72,3,4,45,True
73,3,1,1,False
74,3,1,2,False
75,3,1,3,False
76,3,1,4,True
77,3,1,5,False
78,3,1,6,True
79,3,1,7,True
80,3,1,8,True
81,3,1,9,False
82,3,1,10,True
83,3,1,11,True
84,3,1,12,True
85,3,1,13,True
86,3,1,14,True
87,3,1,15,True
88,3,1,16,True
89,3,1,17,True
90,3,1,18,True
91,3,1,19,True
92,3,1,20,True
93,3,1,21,True
94,3,1,22,True
95,3,1,23,True
96,3,1,24,True
97,3,1,25,True
98,3,1,26,True
99,3,2,27,True
100,3,2,28,True
101,3,2,29,True
102,3,2,30,True
103,3,2,31,True
104,3,2,32,True
105,3,2,33,True
106,3,2,34,True
107,3,2,35,True
108,3,2,36,True
109,3,2,37,True
110,3,2,38,True
111,3,2,39,True
112,3,2,40,True
113,3,2,41,True
114,2,1,1,True
115,2,1,2,True
116,2,1,3,True
117,2,1,4,True
118,2,1,5,True
119,2,1,6,True
120,2,1,7,True
121,2,1,8,True
122,2,1,9,True
123,2,1,10,True
124,2,1,11,True
125,2,1,12,True
126,2,1,13,True
127,2,1,14,True
128,2,1,15,True
129,2,1,16,True
130,2,1,17,True
131,2,1,18,True
132,2,1,19,True
133,2,1,20,True
134,2,1,21,True
135,2,1,22,True
136,2,1,23,True
137,2,1,24,True
138,2,1,25,True
139,2,1,26,True
140,36,1,1,True
141,36,1,2,True
142,36,1,3,True
143,36,1,4,True
144,36,1,5,True
145,36,1,6,True
146,36,1,7,True
147,36,1,8,True
148,36,1,9,True
149,36,1,10,True
150,36,1,11,True
151,36,1,12,True
152,36,1,13,True
153,36,1,14,True
154,36,1,15,True
155,36,1,16,True
156,36,1,17,True
157,36,1,18,True
158,36,1,19,True
159,36,1,20,True
160,36,1,21,True
161,36,1,22,True
162,36,1,23,True
163,36,1,24,True
164,36,1,25,True
165,36,1,26,True
166,36,2,27,True
167,36,2,28,True
168,36,2,29,True
169,36,2,30,True
170,36,2,31,True
171,36,2,32,True
172,36,2,33,True
173,36,2,34,True
174,36,2,35,True
175,36,2,36,True
176,36,2,37,True
177,36,2,38,True
178,36,2,39,True
179,36,2,40,True
180,36,2,41,True
181,36,3,42,True
182,36,3,43,True
183,36,3,44,True
184,36,3,45,True
185,36,3,46,True
186,36,3,47,True
187,36,3,48,True
188,36,3,49,True
189,36,3,50,True
190,36,3,51,True
191,36,3,52,True
192,36,3,53,True
193,36,3,54,True
194,36,3,55,True
195,36,3,56,True
196,36,3,57,True
197,36,3,58,True
198,36,3,59,True
199,36,5,63,True
200,36,5,64,True
201,36,5,65,True
202,36,6,66,True
203,36,6,67,True
204,36,6,68,True
205,36,8,71,True
206,36,8,72,True
207,36,8,73,True
208,36,10,77,True
209,36,10,78,True
210,36,10,79,True
211,36,10,80,True
212,36,10,81,True
213,36,10,82,True
214,36,10,83,True
215,36,10,84,True
216,36,10,85,True
217,36,11,86,True
218,36,11,87,True
219,36,11,88,True
220,36,11,89,True
221,36,11,90,True
222,36,11,91,True
223,36,11,92,True
224,36,11,93,True
225,36,11,94,True
226,36,11,95,True
227,36,11,96,True
228,36,11,97,True
229,36,11,98,True
230,20,1,1,True
231,20,1,2,True
232,20,1,3,True
233,20,1,4,True
234,20,1,5,True
235,20,1,6,True
236,20,1,7,True
237,20,1,8,True
238,20,1,9,True
239,20,1,10,True
240,20,1,11,True
241,20,1,12,True
242,20,1,13,True
243,20,1,14,True
244,20,1,15,True
245,20,1,16,True
246,20,1,17,True
247,20,1,18,True
248,20,1,19,True
249,20,1,20,True
250,20,1,21,True
251,20,1,22,True
252,20,1,23,True
253,20,1,24,True
254,20,1,25,True
255,20,1,26,True
256,20,2,27,True
257,20,2,28,True
258,20,2,29,True
259,20,2,30,True
260,20,2,31,True
261,20,2,32,True
262,20,2,33,True
263,20,2,34,True
264,20,2,35,True
265,20,2,36,True
266,20,2,37,True
267,20,2,38,True
268,20,2,39,True
269,20,2,40,True
270,20,2,41,True
271,20,3,42,False
272,20,3,43,False
273,20,3,44,True
274,20,3,45,True
275,20,3,46,True
276,20,3,47,True
277,20,3,48,True
278,20,3,49,True
279,20,3,50,True
280,20,3,51,True
281,20,3,52,True
282,20,3,53,True
283,20,3,54,True
284,20,3,55,True
285,20,3,56,True
286,20,3,57,True
287,20,3,58,True
288,20,3,59,True
289,20,4,60,True
290,20,4,61,True
291,20,4,62,True
292,20,5,63,True
293,20,5,64,True
294,20,5,65,True
295,20,6,66,True
296,20,6,67,True
297,20,6,68,True
298,20,7,69,True
299,20,7,70,True
300,20,8,71,True
301,20,8,72,True
302,20,8,73,True
303,20,9,74,True
304,20,9,75,True
305,20,9,76,True
306,20,10,77,True
307,20,10,78,True
308,20,10,79,True
309,20,10,80,True
310,20,10,81,True
311,20,10,82,True
312,20,10,83,True
313,20,10,84,True
314,20,10,85,True
315,20,11,86,True
316,20,11,87,True
317,20,11,88,True
318,20,11,89,True
319,20,11,90,True
320,20,11,91,True
321,20,11,92,True
322,20,11,93,True
323,20,11,94,True
324,20,11,95,True
325,20,11,96,True
326,20,11,97,True
327,20,11,98,True
328,19,1,1,True
329,19,1,2,True
330,19,1,3,True
331,19,1,4,True
332,19,1,5,True
333,19,1,6,True
334,19,1,7,True
335,19,1,8,True
336,19,1,9,True
337,19,1,10,True
338,19,1,11,True
339,19,1,12,True
340,19,1,13,True
341,19,1,14,True
342,19,1,15,True
343,19,1,16,True
344,19,1,17,True
345,19,1,18,True
346,19,1,19,True
347,19,1,20,True
348,19,1,21,True
349,19,1,22,True
350,19,1,23,True
351,19,1,24,True
352,19,1,25,True
353,19,1,26,True
354,19,2,27,True
355,19,2,28,True
356,19,2,29,True
357,19,2,30,True
358,19,2,31,True
359,19,2,32,True
360,19,2,33,True
361,19,2,34,True
362,19,2,35,True
363,19,2,36,True
364,19,2,37,True
365,19,2,38,True
366,19,2,39,True
367,19,2,40,True
368,19,2,41,True
369,19,3,42,True
370,19,3,43,True
371,19,3,44,True
372,19,3,45,True
373,19,3,46,True
374,19,3,47,True
375,19,3,48,True
376,19,3,49,True
377,19,3,50,True
378,19,3,51,True
379,19,3,52,True
380,19,3,53,True
381,19,3,54,True
382,19,3,55,True
383,19,3,56,True
384,19,3,57,True
385,19,3,58,True
386,19,3,59,True
387,19,4,60,True
388,19,4,61,True
389,19,4,62,True
390,19,5,63,True
391,19,5,64,True
392,19,5,65,True
393,19,6,66,True
394,19,6,67,True
395,19,6,68,True
396,19,7,69,True
397,19,7,70,True
398,19,8,71,True
399,19,8,72,True
400,19,8,73,True
401,19,9,74,True
402,19,9,75,True
403,19,9,76,True
404,19,10,77,True
405,19,10,78,True
406,19,10,79,True
407,19,10,80,True
408,19,10,81,True
409,19,10,82,True
410,19,10,83,True
411,19,10,84,True
412,19,10,85,True
413,19,11,86,True
414,19,11,87,True
415,19,11,88,True
416,19,11,89,True
417,19,11,90,True
418,19,11,91,True
419,19,11,92,True
420,19,11,93,True
421,19,11,94,True
422,19,11,95,True
423,19,11,96,True
424,19,11,97,True
425,19,11,98,True
426,19,12,99,True
427,19,12,100,True
428,19,12,101,True
429,19,13,109,True
430,19,13,110,True
431,19,14,102,True
432,19,14,103,True
433,19,14,104,True
434,19,14,105,True
435,19,14,106,True
436,19,14,107,True
437,19,14,108,True
438,16,1,1,True
439,16,1,2,True
440,16,1,3,True
441,16,1,4,True
442,16,1,5,True
443,16,1,6,True
444,16,1,7,True
445,16,1,8,True
446,16,1,9,True
447,16,1,10,True
448,16,1,11,True
449,16,1,12,True
450,16,1,13,True
451,16,1,14,True
452,16,1,15,True
453,16,1,16,True
454,16,1,17,True
455,16,1,18,True
456,16,1,19,True
457,16,1,20,True
458,16,1,21,True
459,16,1,22,True
460,16,1,23,True
461,16,1,24,True
462,16,1,25,True
463,16,1,26,True
464,16,2,27,True
465,16,2,28,True
466,16,2,29,True
467,16,2,30,True
468,16,2,31,True
469,16,2,32,True
470,16,2,33,True
471,16,2,34,True
472,16,2,35,True
473,16,2,36,True
474,16,2,37,True
475,16,2,38,True
476,16,2,39,True
477,16,2,40,True
478,16,2,41,True
479,16,3,42,True
480,16,3,43,True
481,16,3,44,True
482,16,3,45,True
483,16,3,46,True
484,16,3,47,True
485,16,3,48,True
486,16,3,49,True
487,16,3,50,True
488,16,3,51,True
489,16,3,52,True
490,16,3,53,True
491,16,3,54,True
492,16,3,55,True
493,16,3,56,True
494,16,3,57,True
495,16,3,58,True
496,16,3,59,True
497,16,4,60,True
498,16,4,61,True
499,16,4,62,True
500,16,5,63,True
501,16,5,64,True
502,16,5,65,True
503,16,6,66,True
504,16,6,67,True
505,16,6,68,True
506,16,7,69,True
507,16,7,70,True
508,16,8,71,True
509,16,8,72,True
510,16,8,73,True
511,16,9,74,True
512,16,9,75,True
513,16,9,76,True
514,16,10,77,True
515,16,10,78,True
516,16,10,79,True
517,16,10,80,True
518,16,10,81,True
519,16,10,82,True
520,16,10,83,True
521,16,10,84,True
522,16,10,85,True
523,16,11,86,True
524,16,11,87,True
525,16,11,88,True
526,16,11,89,True
527,16,11,90,True
528,16,11,91,True
529,16,11,92,True
530,16,11,93,True
531,16,11,94,True
532,16,11,95,True
533,16,11,96,True
534,16,11,97,True
535,16,11,98,True
536,16,13,109,True
537,16,13,110,True
538,35,9,114,True
539,35,9,115,True
540,35,9,116,False
541,2,2,27,True
542,2,2,28,True
543,2,2,29,True
544,2,2,30,True
545,2,2,31,True
546,2,2,32,True
547,2,2,33,True
548,2,2,34,True
549,2,2,35,True
550,2,2,36,True
551,2,2,37,True
552,2,2,38,True
553,2,2,39,True
554,2,2,40,True
555,2,2,41,True
