id,name,is_active,facility_id
1,تم الإطلاع على نموذج تشييك مدير النادي اليومي وعمل اللازم,True,1
2,دفتر الاستئذانات متوفر ويتم تعبئة نموذج الإستئذان وبالشكل المطلوب,True,1
3,جميع نماذج العمل في النادي مفعله وبالشكل المطلوب,True,1
4,عدد الإشتراكات التي تمت من آخر زياره لليوم مطابق لعدد المدخلات في برنامج التدريب الجديد,True,1
5,جميع الموظفين مطلعين على نسبة المبيعات والمستهدفات المحققه إلى تاريخ الزياره,True,1
6,يتم إدخال وتحديث بيانات شموس من قبل كامل الفريق,True,1
7,تم رفع كامل الأعطال في موقع الصيانه/التقنية مع تطبيق آليه التصعيد,True,1
8,تم عمل إستبيان الأعضاء التابع لمدير المنطقه كما هو معتمد,True,1
9,تم مراجعة الإجراءات المتخذه في حق الموظفين والأعضاء وإتخاذ مايلزم,True,1
10,الكاميرات مضائه وتعمل بالإضافة إلى جهاز التسجيل، الهواتف، الجوالات و البوابه الإلكترونيه,True,1
11,تم مراجعة الكاميرات وإتخاذ مايلزم,True,1
12,تم الرد على كافة الطلبات المرفوعه من قبل الموظفين في موقع الموارد البشرية,True,1
13,جميع الموظفين معرفين في بصمة الحضور والإنصراف كذلك جميع الجداول في موقع الموارد سليمه وكماهو معتمد,True,1
14,النادي مطابق لمعيار الجوده وتم الرفع للمعنيين بكامل الملاحظات,True,1
15,يتم إدخال بيانات الزوار بالنظام مع إستكمال الآلية كماهو معتمد من قبل جميع الفريق,True,1
16,يتم دخول الأعضاء والموظفين بشكل نظامي ولايوجد أي مخالفات أو تجاوزات بتاتاً,True,1
17,جميع الموظفين ملتزمين بسير العمل ومتواجدين في مواقع العمل وملتزمين بأوقات الراحة والصلوات المخصصة لهم,True,1
18,جميع النماذج من( سير عمل،توزيع ساعات التدريب الشخصي...) معلقة في لوحة مكتب مدير (النادي / اللياقة),True,1
19,كراسي ومكاتب (الإستقبال،المبيعات ومدير النادي/اللياقه) سليمة ومرتبه ونظيفة بالإضافه إلى عدم وجود أسلاك كهرباء ظاهره ,True,1
20,تم تصدير تقرير النتائج لأندية المنطقة وتحفيز الفريق,True,1
21,تم إتمام قائمة الإتصالات من كامل فريق العمل,True,1
22,"يتم تطبيق "" نظام الجولة الاحترافية "" من قبل جميع الموظفين مع جميع الأعضاء وبالشكل المعتمد",True,1
23,"فهم كامل الفريق للنظام من(بيع,تنازل، ترقيات، سياسات الشركه, التعاميم..)",True,1
24,لا يوجد عجز في إيراد النادي كماتم إيداع كامل المبالغ وتسليمه للمحصل,True,1
25,النادي يحظى بطاقة إيجابيه بين فريق العمل وحال يوجد خلافات أو ملاحظات بين الفريق تم حلها او تصعيدها,True,1
26,تمكن الفريق من إتمام البيعه على جميع البرامج من( موبايلي،أقساط، برامج تسويقيه...إلخ),True,1
27,"مستودع النادي, غرفة السيرفرات (IT), غرفة الموااطير والموظفين نظيفة ومرتبة وبها تهويه جيده كذلك خالية من الاغراض الزائدة",True,2
28,الارتدادات للنادي نظيفة وخالية من المخلفات والحشرات وآمنه ، والحاويات الخاصة بالنادي خاليه من المخلفات,True,2
29,يتم تطبيق آليه رفع الأذان بأوقاتها و النداء على الحصص الجماعية في أوقاتها كما هو معتمد في الجدول,True,2
30,سلامة اللامات واللوائح الإرشاديه في جميع مرافق النادي ولا يوجد نقص في أي مرفق,True,2
31,الشاشات الدعائية و جميع الأجهزة ( مكائن العصائر ... إلخ ) تعمل و بالشكل المطلوب,True,2
32,جميع المرافق تحظى برائحة زكيه وأجهزة التعطير فعاله بشكل ممتاز في جميع الاوقات,True,2
33,رجال الأمن متواجدين في مواقعهم الصحيحة ومنتظمين في حضورهم وتواجدهم ولا توجد ملاحظات,True,2
34,جمبع عمال النظافة يحملون صندوق أدوات النظافة طوال ساعات العمل كذلك مياه الموب نظيفة,True,2
35,دولاب الإكسسوارات مضيء ونظيف كذلك الإكسسوارات مؤمنة، مرتبه، نظيفة وتحتوي على الأسعار الرسمية,True,2
36,اللوحة الرئيسية لانذار الحريق تعمل ، وتاريخ جميع الطفايات بالنادي محدثه وجميعها سليمة ومعلقة بشكل جيد وثابت ,True,2
37,أبواب الطوارئ سليمة وتعمل بشكل جيد وكذلك لوحة المخارج مضائة وسليمة,True,2
38,التأكد من زيارة شركة المبيدات الحشرية بحسب المواعيد المقررة ولا توجد ملاحظات,True,2
39,تم تعليق لافته على الأجهزة التي خارج الخدمه,True,2
40,التكييف يعمل في كامل المرافق وحالة الهيكل الخارجي سليم,True,2
41,عدادات المياه والكهرباء سليم وموصل بشكل آمن,True,2
42,تخطيط وأرضية المواقف سليمة ونظيفة وكذلك تصريف الأمطار سليم,True,3
43,الكشافات، اللوحة الخارجية، الكلادينج، التظليل للواجهة وباب النادي الرئيسي، والبي لوقو يعمل وسليم ولا توجد ملاحظات,True,3
44,إعلان تخصيص مواقف ذوي الإعاقه والمنزلق الخاص بهم والهاندريل سليم ونظيف، وكذلك موقف الدراجات الهوائية سليم,True,3
45,ساعات عمل النادي معلنه ومعلقه على مدخل النادي، وكذلك استكر رأيك يفرق واضح وسليم,True,3
46,وجود لائحة الاسعار الأساسية بشكل واضح وسليم,True,3
47,البوابة الإلكترونية، أجهزة البصمة وزر الخروج يعمل وبحالة سليمه,True,3
48,منطقة الاستقبال منظمه ومرتبه وجميع الرفوف والادراج سليمة,True,3
49,جميع الموظفين ملتزمين بالزي الرسمي,True,3
50,جميع الموظفين لديهم بطاقات ( صحيه - عمل - شهاده إنقاذ لمدربي السباحه والتغطيه) وتاريخها ساري,True,3
51,نموذج التشييك على المرافق مفعل ويتم من قبل كامل الفريق,True,3
52,جميع الأجهزة، الملحقات وجهاز نقاطي وجهاز الشبكة (SPAN) يعمل، وتمكن كامل الموظفين من العمل عليها,True,3
53,جهاز كاشف التزوير سليم ويعمل بشكل ممتاز,True,3
54,لائحة حماية المستهلك، الرمز الإلكتروني الموحد معلقه في منطقة الإستقبال,True,3
55,سلامة جميع الاستاندات ( كود تطبيق بودي ماسترز - كود تقييم قوقل - تمارا ... الخ )  ,True,3
56,"سلامة الجرافيكس خلف الاستقبال, خلفية الاستقبال والاناره تعمل بشكل جيد",True,3
57,سلامة بوابة دخول الاحتياجات والهاندريل ويعمل بشكل جيد,True,3
58,"الانارات, الأسقف,  وأرضيات الاستقبال ومحيطه سليمه",True,3
59,صناديق الامانات الخاصه بالاعضاء وجميع منافذ الكهرباء بداخلها  تعمل بشكل جيد,True,3
60,الطاولات، والشبك سليم ونظيف، عصا وكور البلياردو / مضرب وكور تنس الطاولة سليمه ,True,4
61,جلسة الأعضاء نظيفة وسليمه كذلك التلفاز يعمل بشكل جيد,True,4
62,"الانارات, الأسقف, الأرضيات, والتكييف, وأنظمة التهوية جيدة بصالة الترفيه وتعمل بشكل سليم",True,4
63,الأدوات ، والاكسسوارات وإسفنجات التمارين نظيفة، سليمة ومنظمة,True,5
64,"الانارات, الأسقف, الحوائط, الأرضيات, ا الأبواب,  الزجاج, المرايات, الجرافيكس والإستيج سليم ونظيف",True,5
65,جدول الحصص مُعلن في شاشة الحصص ويتم تشغيله طوال ساعات عمل النادي,True,5
66,"الدنابل, البارات مرتبه, الأجهزة, الإكسسوارات منظمه وسليمه بالإضافه إلى سلامه مراتب الجلد",True,6
67,"الانارات, الأرضيات, الأسقف, المرايات والجرافيكس نظيف وسليم. كذلك جميع الأجهزه والشاشات تعمل و مرقمه",True,6
68,تواجد عامل و يقوم بمهامه من تنظيف و تعقيم بالشكل المطلوب,True,6
69,"الأرضيات, الحوائط, الأسقف, الانارات, الريق, الجرافيكس سليم ونظيف",True,7
70,"جميع الإكسسوارات والأوزان مرتبه وسليمه, والاجهزة تعمل (التجديف - سير الجري ... الخ )",True,7
71,"الانارات, الأرضيات, الحوائط, الأسقف, الأفياش, الجرافيكس والزجاج سليم و نظيف",True,8
72,"جميع أجهزة الكارديو تعمل, وحالتها سليمة ونظيفة والاسلاك مرتبة وبشكل سليم",True,8
73,يوجد عامل و يقوم بمهامه من تنظيف و تعقيم بالشكل المطلوب,True,8
77,الإنارات، الأسقف، الحوائط، الأرضيات،الأبواب، الأقفال، العلاقات، المرايات، الكراسي والصبانات سليمة ونظيفه,True,10
78,تم كسر أبواب خزائن الملابس قبل إغلاق النادي/الأندية التي تعمل 24ساعه يتم بعد الإغلاق الأول قبل صلاة الجمعة,True,10
79,يتم تفعيل نموذج النظافه وتعقيم دورات المياه الخاص بعمال النظافة,True,10
80,الدواليب نظيفه من (الأعلى-الداخل-الخارج)، الخشب، مفصلات الأبواب والأرقام سليمة و يتم تفريغ الدواليب كماهو معتمد,True,10
81,علب الصابون، الشامبو، رأس المراوش والشطافات سليمه وموحده في كامل النادي,True,10
82,يوجد على الاقل عدد إثنين إستشوار وحالتهم ممتازة ويعملوا بشكل جيد,True,10
83,تواجد عامل و يقوم بمهامه كماينبغي. ويتم تغريغ المناشف إن وجدت أول بأول,True,10
84,المغاسل، دورات المياه سليمه ونظيفة بالإضافة إلى أن أدوات النظافه غير ظاهره للأعضاء,True,10
85,رول ولاصق مانع الإنزلاق سليم ونظيف (إن وجد),True,10
86,يتم فتح وإغلاق المسبح/النادي كماهو معتمد مع البدأ في تقليل الإضاءات وإخراج الأعضاء قبل نهاية الدوام بـ15/10د,True,11
87,الإنارات، الأسقف، الحوائط، الأرضيات،الأبواب، الأقفال، العلاقات والجرافيكس سليم ونظيف,True,11
88, الأدوات ( الدنابل - البورد ... الخ ) متوفره وحالتها سليمة ومرتبة ومنظمة,True,11
89,تم تفعيل كامل حصص السباحه من ( تعليم و حصة أكوا بودي ...),True,11
90,يوجد طوافات، عصا إنقاذ، كرسي منقذ فقط، أسطوانة أكسجين وأدوات الإسعافات الأولية وجميعها بحالة سليمه,True,11
91,المدربين يقومون بالتشييك و التسجيل & مطابق للفعلي,True,11
92,جهاز قياس درجة حرارة الجاكوزي البارد والساونا موجود وسليم,True,11
93,جهاز قياس المواد الإلكتروني سليم ويتم العمل عليه عند تسجيل كل قراءه في نموذج التشييك,True,11
94,علاقات الملابس والمناشف سليمه وموحده كما هو معتمد بالإضافه إلى أن عددها في المسبح لايقل عن 20 علاق,True,11
95,غطاء الخزانات، ماء المسبح، الأوفر فلور و غرفة المعدات نظيفة و سليمة,True,11
96,تم وضع مواد المعالجه كما هو معتمد أو موجه من قبل لجنة المسابح,True,11
97,المسبح والجاكوزيات نقي ونظيف كذلك سلامة(الأرضيات - السلالم - الأوفر فور - علب الصرف - مانع الإنزلاق),True,11
98,الساونا و البخار يعمل ونظيف من( أرضيات - أبواب - مقابض - الرداد - زر التشغيل/التحكم),True,11
99,الأرضيات، شبك المرمى، الحواجز، السور الحديدي وتخطيط الملعب سليم و بحالة جيده,True,12
100,الملعب و محيطه نظيف كذلك الإنارات، الجدران و الدهانات سليمه و بحاله جيده,True,12
101,يتم تنظيف المرمى، الكرات، الشبك و أدوات الحكم بعد كل مباراة,True,12
102,جميع الغسالات والنشافات سليمه وتعمل بشكل ممتاز,True,14
103,يوجد إكتفاء من مواد غسيل وتعطير المناشف كذلك أكياس التغليف,True,14
104,التهوية سليمة ومراوح الشفط تعمل بكفاءة,True,14
105,يوجد رف تصفيط للمناشف وبحالة سليمة,True,14
106,التأكد من وجود  وتفعيل كشف استلام وتسليم والمناشف ,True,14
107,لايوجد عجز في المناشف كما يتم إستغلال كامل المخزون في مستودع النادي,True,14
108,الغرفة نظيفة ومرتبه ولايوجد أي عوائق,True,14
109,الأرضيات، الهاندريل، الزجاج، الخطوط، الجدران، الدهانات والجرافيكس سليم و بحالة جيدة,True,13
110,الأرضيات نظيفة كذلك المكان بشكل عام,True,13
111,الأرضيات، شبك المرمى، الحواجز، السور الحديدي وتخطيط الملعب سليم و بحالة جيده,True,15
112,الملعب و محيطه نظيف كذلك الإنارات، الجدران و الدهانات سليمه و بحاله جيده,True,15
113,يتم تنظيف المرمى، الكرات، الشبك و أدوات الحكم بعد كل مباراة,True,15
114,"الأرضيات، الأسقف، الانارات, الأبواب, الحوائط, التظليل, الزجاج والجرافيكس نظيف وسليم.",True,9
115,جميع السياكل الهوائية والشاشات الخاصه بها تعمل، وكذلك جهاز المدرب الرئيسي,True,9
116,البروجيكتر أو شاشة العرض تعمل كذلك برنامج ماي رايد، والاسلاك سليمة وغير ظاهرة,True,9
